,cities,lats,lngs,max_temp,humidity,cloudiness,wind_speed,country,date
144,aklavik,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
145,lokoja,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
146,geraldton,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
147,yiyang,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
148,touros,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
149,sidi ali,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
150,bredasdorp,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
151,denham springs,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
152,half moon bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
153,kuytun,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
154,camacha,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
155,lebu,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
156,cidreira,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
157,teneguiban,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
158,illoqqortoormiut,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
159,ouesso,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
160,abeche,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
161,bargal,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
162,shintomi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
163,verkhoyansk,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
164,tasiilaq,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
165,ribeira grande,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
166,raudeberg,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
167,victoria,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
168,mogadishu,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
169,gunjur,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
170,gravdal,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
171,san andres,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
172,saint-jean-de-luz,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
173,oistins,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
174,hasaki,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
175,yerbogachen,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
176,macusani,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
177,nantucket,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
178,tuatapere,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
179,makakilo city,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
180,lakhimpur,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
181,mount isa,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
182,rahimatpur,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
183,kagalnitskaya,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
184,tessalit,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
185,cayenne,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
186,khunti,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
187,tura,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
188,artyk,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
189,avesta,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
190,shellbrook,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
191,ostrovnoy,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
192,hatillo,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
193,abalak,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
194,seoul,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
195,bathsheba,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
196,dakar,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
197,srednekolymsk,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
198,saint-philippe,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
199,qaanaaq,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
200,yar-sale,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
201,tuktoyaktuk,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
202,umzimvubu,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
203,daru,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
204,beni suef,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
205,pangnirtung,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
206,kungurtug,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
207,christchurch,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
208,san patricio,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
209,pathein,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
210,richards bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
211,adrar,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
212,lashio,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
213,laguna,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
214,bethel,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
215,bengkulu,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
216,vanimo,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
217,ossora,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
218,alta floresta,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
219,rawlins,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
220,kem,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
221,lhokseumawe,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
222,taburi,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
223,bell ville,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
224,avera,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
225,gull lake,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
226,topeka,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
227,sao filipe,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
228,bambous virieux,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
229,leningradskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
230,loralai,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
231,husavik,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
232,mantua,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
233,nizhneyansk,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
234,coihaique,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
235,platteville,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
236,sulangan,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
237,faanui,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
238,masuguru,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
239,salym,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
240,nizwa,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
241,hamilton,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
242,tiksi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
243,balkhash,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
244,portoferraio,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
245,gizycko,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
246,caxito,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
247,houma,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
248,luderitz,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
249,inderborskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
250,saint-augustin,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
251,guangyuan,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
252,fairbanks,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
253,guiglo,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
254,nelson bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
255,lagoa,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
256,myaundzha,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
257,ciudad guayana,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
258,noumea,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
259,bur gabo,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
260,barentsburg,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
261,solnechnyy,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
262,mount gambier,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
263,mbandaka,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
264,walvis bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
265,panama city,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
266,nanortalik,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
267,wadena,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
268,port moresby,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
269,kahului,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
270,peterhead,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
271,cherskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
272,grand gaube,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
273,alofi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
274,grong,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
275,los aquijes,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
276,aykhal,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
277,karratha,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
278,mosquera,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
279,grand river south east,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
280,mbutuy,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
281,mastic beach,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
282,sao joao da barra,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
283,vestmanna,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
284,belushya guba,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
285,nikolskoye,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
286,belyy yar,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
287,pokrovsk-uralskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
288,puerto colombia,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
289,erenhot,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
290,mersing,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
291,mathathane,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
292,katsuura,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
293,port hardy,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
294,peniche,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
295,abdulino,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
296,alyangula,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
297,nome,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
298,harper,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
299,acapulco,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
300,rosita,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
301,nishihara,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
302,dasuya,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
303,aguimes,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
304,teya,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
305,salyan,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
306,salta,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
307,dzaoudzi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
308,padang,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
309,shangqiu,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
310,ust-kuyga,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
311,porbandar,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
312,seidu,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
313,temple terrace,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
314,utiroa,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
315,svetlogorsk,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
316,zozutla,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
317,borujerd,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
318,petatlan,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
319,jinchang,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
320,araouane,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
321,illapel,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
322,viransehir,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
323,soyo,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
324,sorland,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
325,pemangkat,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
326,erzin,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
327,antsohihy,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
328,tiarei,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
329,berwick,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
330,beroroha,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
331,poum,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
332,muros,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
333,saint george,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
334,sorong,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
335,ostrovskoye,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
336,satipo,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
337,hofn,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
338,mpika,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
339,kashi,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
340,abadan,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
341,chumikan,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
342,prince george,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
343,sorvag,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
344,dunedin,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
345,mabaruma,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
346,nogliki,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
347,arrecife,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
348,mehendiganj,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
349,yagodnoye,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
350,wahran,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
351,pacific grove,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
352,miramar,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
353,batemans bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
354,laela,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
355,byron bay,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
356,abha,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
357,jacobina,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
358,lavrentiya,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
359,emba,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
360,inhambane,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
361,bhilwara,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
362,omutinskoye,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
363,sisimiut,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
364,whitianga,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
365,hithadhoo,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
366,tougue,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
367,sribne,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
368,aketi,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
369,portland,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
370,narsaq,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
371,klaksvik,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
372,quito,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
373,kiama,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
374,saint anthony,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
375,launceston,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
376,katsiveli,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
377,kapoeta,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
378,penzance,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
379,victor harbor,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
380,ye,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
381,lorengau,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
382,am timan,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
383,axim,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
384,tadine,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
